Date,Subscription status,Views,source
2025-06-23,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-24,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-25,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-26,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-27,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-28,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-29,Subscribed,0,Subscription Status_Ai-talks-CA
2025-06-30,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-01,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-02,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-03,Subscribed,1,Subscription Status_Ai-talks-CA
2025-07-04,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-05,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-06,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-07,Subscribed,2,Subscription Status_Ai-talks-CA
2025-07-08,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-09,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-10,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-11,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-12,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-13,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-14,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-15,Subscribed,1,Subscription Status_Ai-talks-CA
2025-07-16,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-17,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-18,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-19,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-20,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-21,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-22,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-23,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-24,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-25,Subscribed,1,Subscription Status_Ai-talks-CA
2025-07-26,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-27,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-28,Subscribed,1,Subscription Status_Ai-talks-CA
2025-07-29,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-30,Subscribed,0,Subscription Status_Ai-talks-CA
2025-07-31,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-01,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-02,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-03,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-04,Subscribed,1,Subscription Status_Ai-talks-CA
2025-08-05,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-06,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-07,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-08,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-09,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-10,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-11,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-12,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-13,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-14,Subscribed,1,Subscription Status_Ai-talks-CA
2025-08-15,Subscribed,1,Subscription Status_Ai-talks-CA
2025-08-16,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-17,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-18,Subscribed,5,Subscription Status_Ai-talks-CA
2025-08-19,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-20,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-21,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-22,Subscribed,3,Subscription Status_Ai-talks-CA
2025-08-23,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-24,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-25,Subscribed,1,Subscription Status_Ai-talks-CA
2025-08-26,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-27,Subscribed,1,Subscription Status_Ai-talks-CA
2025-08-28,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-29,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-30,Subscribed,0,Subscription Status_Ai-talks-CA
2025-08-31,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-01,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-02,Subscribed,1,Subscription Status_Ai-talks-CA
2025-09-03,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-04,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-05,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-06,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-07,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-08,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-09,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-10,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-11,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-12,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-13,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-14,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-15,Subscribed,1,Subscription Status_Ai-talks-CA
2025-09-16,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-17,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-18,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-19,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-20,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-21,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-22,Subscribed,0,Subscription Status_Ai-talks-CA
2025-09-23,Subscribed,0,Subscription Status_Ai-talks-CA
